GroupId	WebsiteName	PatternType	Missed	Junk	Outof	LeftPattern	RightPattern
1	flipkart	plainPattern	0	0	4	">	</li><li class="_2-riNZ"
2	snapdeal	plainPattern	0	0	4	i"> <span class="list-cicrle-cont"><span class="list-circle"></span></span> <span class="h-content">	</span> </li> <li class="col-xs-8 dtls-li"
3	amazon	plainPattern	0	0	4	 </span></li> <li><span class="a-list-item"> 	 </span></li> <li><span class="a-list-item"> 
