GroupId	WebsiteName	PatternType	Missed	Junk	Outof	LeftPattern	RightPattern
1	flipkart	noValuePattern	0	0	4	">	</li><li class="_2-riNZ"
2	snapdeal	noValuePattern	0	0	4	i class="col-xs-8 reset-padding" title=""><span class="list-circle"></span> <span class="h-content">	</span> </li> <li class="col-xs-8 reset-padding" title=""><span class="list-circle"></span> <span cl
2	snapdeal	noValuePattern	0	0	4	i"> <span class="list-cicrle-cont"><span class="list-circle"></span></span> <span class="h-content">	</span> </li> <li class="col-xs-8 dtls-li"> <span class="list-cicrle-cont"><span class="list-circle"
3	amazon	noValuePattern	0	0	4	-top-small"> <ul class="a-unordered-list a-vertical a-spacing-none"> <li><span class="a-list-item"> 	 </span></li> <li><span class="a-list-item"> 
